VINEYARD DETAILS,,
Supervisors:,,
Paul - 0417 479 474,,
Wayne - 0428 479 476,,
Larissa - 0457 0457 72,,
,,
VINEYARD NAME,CODE,ADDRESS
AMAROK ESTATE,6006,"Use Cherubino service entrance 3470 Caves Road, drive through to Amarok"
BROOKWOOD,,"430 Treeton Rd, Treeton WA 6284"
BURNSIDE,,"5839 Caves Road, Burnside"
ROBINSONS,6236,"140 Summerville Crescent, Yallingup"
CAPE FALLS,,"3540 Caves Road, Wilyabrup"
COLINS (BOSLEY),1203,54 Black Butt Dr Yallingup Siding
CRANE (Murray),,944 Boallia Road - take driveway in and then turn right on the track towards vineyard after going through the first paddock
CHAPMAN CREEK / YELVERTON VALLEY ,1382,"703 Yelverton Road, Yelverton / 593 Yelverton Road,Yelverton "
CHAPMAN GROVE (RJ Fraser),1321,"162 Brooks Road, Rosa Glen - go in gate 500m north along Brooks Road"
CROOKED BROOK,,"566 Crooked Brook Road,"
DI LATTE (Wilyabrup Investments),321 pump shed,"4259 Caves Road, Wilyabrup"
FORREST,4011,"138 Johnson Road, Wilyabrup"
HACKERSLEY ,,
HANNAFORD,2609,75 Johnson Road - HEAD DOWN TRACK AND TAKE THE DRIVEWAY ON THE RIGHT
KAARDS,,"245 Quininup Road, Wilyabrup"
MAIRS,2930,"1348 Vasse Yallingup Siding Road, Yallingup"
MAGGIES (Vintage Unit Trust),Key behind gate post - (southern gate),"149 Wildberry Road, Wilyabrup"
MOSES ROCK,3102,"181 Moses Rock Road, Wilyabrup"
OSMINGTON - (Wood Sea Farm),,1700 Osmington Road - vineyard ~100m futher along from house on left side
PECCAVI (Krek Mueller),8647#,"1121 Wildwood Road, Yallingup"
PAGANIN,,"837 Commonage Road, Yallingup"
ROJE ESTATE - Firetail,,"21 Bessel Road, Rosa Glen"
ROSA PARK,0427,"132 Blain Road, Rosa Glen"
STELLAR RIDGE,,"118 Clews Road, Cowaramup"
THOMPSON ESTATE - WILYABRUP,,299 Tom Culity Drive
THOMPSON ESTATE - RICKETT RD,6406,"80 Rickett Road, Cowaramup"
THOMPSON ESTATE - DONALDSON RD,6406,"Lot 103 Donaldson Road, Cowaramup - use gate at the end of Rickett Road"
VICTORY POINT,1400,"92 Holben Road, Cowaramup"
WE'RE WINES,0576,"Lot 210 Wildberry Road, enter off Johnson Road, Wilyabrup"
WAGTAIL ESTATE - Stone,4011,"600 Puzey Road, Wilyabrup"
Woodlands-Home,,"3948 Caves Rd, Wilyabrup "
Woodlands-Puzey,637908,"790 Puzey Road, Wilyabrup"
WOODMAN,,"101 Palandri Road, Burnside"
WRIGHTS,8647*,"19 Tassel Road, Cowaramup"
,,
,,
,,
,,
,,
,,
,,
